herb	symptoms
陈皮	纳略增,3.65442421016	偶口干口苦,3.65442421016	代诉：病情平稳,3.65442421016	微畏寒,3.65442421016	胃脘胃寒,3.65442421016	舌下脉络瘀曲,3.65442421016	腹部畏寒略减,3.65442421016	泛吐白沫,3.65442421016	舌体瘦,3.65442421016	口粘减轻,3.65442421016	头晕减轻,3.65442421016	舌燥,3.65442421016	舌淡紫暗胖,3.65442421016	咽部有异物感,3.65442421016	脑鸣,3.65442421016	胃脘部下坠感,3.65442421016	苔浊腻,3.65442421016	舌干,3.65442421016	前部苔少,3.65442421016	进食后偶嗳气,3.65442421016	小便热,3.65442421016	面部痤疮多,3.65442421016	打鼾,3.65442421016	吞咽困难,3.65442421016	排气少,3.65442421016	不能多食,3.62844872376	反食,3.62702523597	偶呕吐,3.61186459574	受凉加重,3.60997244759	食后嗳气,3.60997244759	腹部畏寒明显,3.60790419452	舌淡边有齿痕,3.60790419452	泻后则安,3.60563404599	嘈杂,3.59726579632	大便有时干,3.59726579632	嗳气减少,3.59379958834	胃胀明显好转,3.59190385318	进食后嗳气,3.58988568902	家族史否认,3.58988568902	舌暗淡胖,3.58773283566	矢气减少,3.58543133867	大便粘好转,3.58543133867	苔黄白腻,3.58031623801	有瘀点,3.58031623801	纳稍增,3.58031623801	反酸偶作,3.58031623801	上腹胀满,3.57746316902	质不干,3.57746316902	下肢疼痛,3.57438150249	膝关节畏寒,3.57438150249	得嗳气矢气则舒,3.57438150249	食欲差,3.57438150249	偶咳痰,3.57438150249	舌质红,3.57438150249	胃中沥沥在声,3.57438150249	晨起口臭,3.57438150249	大便时干,3.57438150249	偶干咳,3.57438150249	两胁痛,3.56741283317	口干苦,3.56741283317	耳鸣减轻,3.56741283317	腹泻减轻,3.55911403035	自觉上火,3.55911403035	睡眠偏差,3.55911403035	嗳气偶作,3.55911403035	心悸减轻,3.55911403035	反酸减少,3.55911403035	口干明显,3.55911403035	大便渐成形,3.55911403035	气上逆感,3.55598413735	脉滑数,3.55598413735	大便欠畅,3.5543407516	口腔异味减轻,3.5543407516	嗳气频作,3.55332809329	喜温喜按,3.5490636945	背痛减轻,3.5490636945	小腹胀满,3.5490636945	睡眠质量好转,3.5490636945	苔根部腻,3.5490636945	口粘好转,3.5490636945	胃脘及背部畏寒,3.5490636945	脐周隐痛,3.5490636945	偶胸痛,3.5490636945	口苦好转,3.5490636945	体胖,3.5490636945	仍有嗳气,3.5490636945	夜尿3次,3.5490636945	肠鸣减轻,3.5490636945	上腹胀,3.5490636945	有时偏干,3.5490636945	咽痛好转,3.5490636945	大便偶不成形,3.5490636945	舌淡暗略胖,3.5490636945	胃脘畏寒减轻,3.54621062552	大便不成形,3.54319857505	时有口苦,3.54109552485	畏脘畏寒,3.53379622237	基本成形,3.53182188807	得嗳气则舒,3.53081025419	纳眠差,3.52926106721	

玄参	苔局部花剥,5.83102511616	苔根部黄,5.45633166672	大便有时秘结,5.36671950803	前部苔少,5.32749879488	依赖泻药,5.31792934386	排出畅,5.3021809869	干咳,5.27970813104	咳吐不利,5.25339082273	唇燥,5.24155636508	声音嘶哑,5.18439795124	脉沉细缓,5.18439795124	膝关节畏寒,5.10435524357	苔浊腻,5.10435524357	四肢冷,5.10435524357	右胁隐痛,5.10435524357	口干咽燥,5.09342617303	小便清长,5.07903743558	口粘好转,5.07903743558	苔薄,5.07903743558	咽痛好转,5.07903743558	前部少,5.05923480828	头晕减轻,5.03024727141	大便干结,5.03024727141	乏津,4.99202605859	记忆力下降,4.98372725578	舌燥,4.98372725578	嗳气明显好转,4.98372725578	听力下降,4.98372725578	前部少苔,4.95387429263	头晕好转,4.93927549321	腹部畏寒减轻,4.9284645771	根部薄黄,4.9284645771	偶右胁不适,4.89671587879	小便多,4.86594422012	咽痒,4.84453012562	右上腹不适,4.81667317111	舌面有裂纹,4.77893284313	咽干,4.7738950491	唇干,4.76058370446	大便基本成形,4.75695393641	纳稍增,4.74256519896	易怒,4.74256519896	咽痛,4.73367625154	便秘,4.72486562186	咽红,4.70747387915	面部痤疮好转,4.67357232747	大便粘好转,4.67357232747	口苦好转,4.67357232747	体胖,4.67357232747	脉左沉细,4.67357232747	夹血块,4.67357232747	口干不欲饮,4.67357232747	动则汗出,4.67357232747	口腔溃疡,4.64326697798	咽部异物感减轻,4.64078250465	醒后难再入睡,4.63435161432	口腔异味减轻,4.6247821633	根部黄,4.60903380634	汗多好转,4.60903380634	咳痰色白,4.60903380634	口疮,4.57826214767	睡眠略好转,4.57826214767	口干渴,4.57826214767	咽部充血,4.57826214767	鼻燥,4.57826214767	睡眠有时偏差,4.57826214767	苔黄白腻,4.56024364217	反复口腔溃疡,4.55261971706	偶头晕,4.54840918452	量偏少,4.5338103851	鼻干,4.52515232235	咽中有痰,4.52515232235	面色萎黄,4.49125077068	舌灼热感,4.49125077068	腹部不适,4.49125077068	不干,4.49125077068	耳鸣,4.49125077068	下腹胀,4.49125077068	舌干,4.49125077068	全身乏力,4.49125077068	双下肢凉,4.49125077068	口淡乏味,4.49125077068	晨起干呕,4.49125077068	瘙痒,4.49125077068	食后胃胀,4.4785117449	有裂纹,4.46513962668	大便好转,4.45042877616	苔根部黄腻,4.44679900811	失眠好转,4.44473075504	偶干咳,4.41120806301	咽部有痰,4.41120806301	口腔溃疡已愈,4.41120806301	咽干咽痛,4.41120806301	汗多减轻,4.41120806301	时有腰痛,4.41120806301	肠鸣减轻,4.38589025502	时有心悸,4.38205147871	舌红暗,4.36608762772	脱发明显,4.33710009085	时有乏力,4.33710009085	

黄芪	膝关节畏寒,5.91946083119	胃脘及背部畏寒,5.59403843076	自觉上火,5.49872825095	进食后偶嗳气,5.42218817383	腹胀不明显,5.37089487944	舌质红,5.33167416629	口干渴,5.27558469964	嗳气偶作,5.27558469964	右侧腹胀,5.27558469964	脱发明显,5.25756619414	晨起咳痰,5.18857332265	感冒多,5.18857332265	脉弱,5.18857332265	家族史否认,5.12403480151	偶胸痛,5.08321280699	苔偏少,5.08321280699	稍感恶心,5.08321280699	有时偏干,5.08321280699	畏风,5.02151923799	脐周腹痛,5.0142199355	腹泻减轻,4.98790262719	大便仍不成形,4.98790262719	心悸减轻,4.98790262719	矢气减少,4.96542977134	头晕好转,4.94345086462	偶肠鸣,4.9008912502	舌紫暗红,4.85643948763	偶头晕,4.84026662838	排气不畅,4.82084854252	双下肢乏力,4.80558107039	目涩,4.80558107039	流涕,4.79553073454	时有乏力,4.74674057037	感冒偏多,4.71164925056	正值经期,4.67774769888	进食后腹胀,4.67774769888	睡眠质量好转,4.67774769888	面部痤疮多,4.67774769888	咽部有痰,4.63852698573	色黑,4.58243751908	偶耳鸣,4.58243751908	肛门下坠感,4.58243751908	睡眠多,4.58243751908	大便偶干,4.58243751908	偶胃脘不适,4.55996466323	食欲不振,4.55258455593	心悸好转,4.55258455593	苔略黄,4.55258455593	反酸好转,4.49542614209	腹部不适,4.49542614209	晨起口苦,4.49542614209	晨起干呕,4.49542614209	腹中不适,4.44135892082	脉滑数,4.43088762095	双下肢肿,4.41538343442	脉沉小,4.41538343442	纳偏差,4.39006562643	腹泻好转,4.37764310643	苔少,4.37026299914	仍感胃胀,4.34127546226	头晕减轻,4.34127546226	小便不尽感,4.34127546226	时有胃脘隐痛,4.34127546226	腹部喜温,4.34127546226	吞咽困难,4.34127546226	左上腹疼痛,4.29475544663	根部黄腻,4.29475544663	舌木,4.29475544663	全身畏寒,4.28908970909	色黄,4.27228259078	大便调,4.27228259078	中有裂纹,4.24596528246	大便排出困难,4.24139210376	呕吐,4.22576257514	腹部畏寒好转,4.20774406964	根部黄,4.20774406964	汗出,4.20774406964	偶胸闷,4.20774406964	苔薄黄略腻,4.20774406964	纳偏少,4.20774406964	有裂纹,4.1973812826	病情好转,4.18305145705	质粘,4.16329230707	睡眠有时欠佳,4.15895390547	全身关节疼痛,4.14711944782	双下肢畏寒,4.14711944782	腰痛,4.13875119815	大便量少,4.13542340806	偶咳痰,4.12770136196	畏寒,4.1222218962	睡眠好转,4.11243388983	喜叹息,4.10865316699	舌灼热感,4.08996103398	大便畅,4.08996103398	隐痛,4.08996103398	瘙痒,4.08996103398	月经不调,4.06798212726	睡眠多梦,4.05359338981	脉弦数,4.05359338981	大便困难,4.05359338981	

厚朴花	仍有嗳气,5.78687533155	有瘀点,5.60455377476	大便有时秘结,5.60455377476	脉右弦左沉,5.38141022344	口干咽燥,5.35943131672	唇燥,5.25624708049	气上逆感,5.13455014551	四肢冷,5.11904595898	水样便,5.09372815099	大便偶不成形,5.09372815099	面色萎黄,5.01676710985	舌暗淡,5.006716774	眠时好时差,4.99841797119	心下悸动,4.99841797119	吞咽食物时梗噎不畅,4.9114065942	苔中根部黄,4.9114065942	口干苦,4.9114065942	舌干,4.9114065942	偶咳痰,4.83136388652	目涩,4.81609641439	睡眠时好时差,4.68826304288	左沉细,4.68826304288	舌淡暗略胖,4.68826304288	呈隐痛,4.68826304288	腹部畏寒明显,4.59295286308	烘热汗出,4.59295286308	呈绞痛,4.59295286308	舌淡边有齿痕,4.59295286308	口苦口干,4.50594148609	大便稀,4.50594148609	口淡乏味,4.50594148609	汗出,4.50594148609	干咳,4.50594148609	情志不舒加重,4.50594148609	胸骨后不适,4.48941218414	得嗳气则舒,4.48241098868	偶咳嗽,4.4785425119	咽部异物感减轻,4.47315166327	根部薄黄,4.47315166327	嗳气不畅,4.46747520526	脉弦缓,4.45942147045	食欲好转,4.45942147045	左下腹疼痛,4.42589877842	受凉后加重,4.42589877842	大便时干,4.42589877842	嗳气好转,4.41063130628	大便畅,4.38815845043	腹泻好转,4.38815845043	苔少,4.38077834313	进食后加重,4.35179080626	生气后加重,4.35179080626	晨起明显,4.35179080626	按之觉痛,4.35179080626	纳稍增,4.35179080626	苔中根部薄黄,4.35179080626	大便少,4.32826030885	不能食冷,4.32535754919	苔前部少,4.32361992929	咽红,4.31669948645	有便不尽感,4.30527079063	泛吐白沫,4.30527079063	喜饮,4.30527079063	食后明显,4.30527079063	咽部异物感,4.28672721291	眠差,4.28279793477	动则汗出,4.28279793477	气喘,4.21825941364	胃脘畏寒明显,4.21825941364	背部不适,4.21825941364	时有呕吐,4.21825941364	苔薄黄略腻,4.21825941364	口干舌燥,4.21825941364	小便多,4.18748775497	口涩,4.18748775497	胃寒,4.17743741912	脉沉细弦,4.16806966911	纳眠差,4.15763479182	大便已成形,4.15763479182	眠一般,4.14593875206	食后胃胀,4.12547768019	舌下脉络瘀曲,4.10047637798	胸骨后烧灼感,4.10047637798	腰部畏寒,4.10047637798	口干，口苦,4.09125972288	小便频数,4.07307740379	糖尿病饮食,4.06410873381	小便频,4.05120532897	病情稳定,4.04640915671	偶背痛,4.04640915671	吞咽不畅,4.04640915671	腹部微畏寒,4.04640915671	腹中不适,4.04640915671	口腔溃疡,4.03891848498	偶口干,4.03593785684	脉弦滑,4.03333707514	醒后难再入睡,4.02043367031	时有腹胀,4.00950459978	背痛减轻,3.99511586232	咳痰,3.99511586232	稍感胃胀,3.99511586232	

干姜片	晨起嗳气,4.01217384523	晨起反酸,4.01217384523	偶口干口苦,4.01217384523	心下悸动,3.91686366542	查胃镜示慢性胃炎,3.91686366542	苔中根部黄,3.82985228843	形体肥胖,3.82985228843	时有腰痛,3.74980958076	反复感冒,3.67570160861	胁痛,3.67570160861	苔中根部薄黄,3.67570160861	按之觉痛,3.67570160861	偶右胁痛,3.54217021598	面色萎黄,3.42438718033	右侧背痛,3.2702365005	目涩,3.22371648486	略黄,3.13670510787	苔黄略腻,3.09588311335	胃中沥沥有声,2.98255442805	时有口苦,2.98255442805	苔白略腻,2.94746310824	胁胀,2.94746310824	口涩,2.81825137676	尿频,2.77379961418	小便频数,2.70384102558	偶胃胀,2.70384102558	大便不尽感,2.65119729209	舌暗淡,2.62587948411	脉弦缓,2.5305693043	纳眠好,2.50809644845	偶胃脘不适,2.50809644845	有时不成形,2.46461133651	苔腻,2.44355792731	偶口干,2.44355792731	易感冒,2.42976460518	大便有时不成形,2.42293864011	夜间明显,2.3829333055	咽部不适,2.3829333055	脱发,2.34446702467	夹有血块,2.32577489166	胸骨后不适,2.20388507405	时有口干,2.1251041962	苔根部黄腻,2.08065243362	胸骨后烧灼感,2.03809281921	食欲欠佳,1.99727082469	眠好,1.93273230355	大便偏干,1.90803969096	得嗳气则舒,1.86041164197	目干,1.82612256849	胸闷,1.79297036117	苔白腻略黄,1.77146415595	头痛,1.77146415595	脉滑,1.68978612494	面部痤疮,1.68002994999	汗多,1.68002994999	嗳气不畅,1.65131984411	舌淡红,1.64193010376	口干，口苦,1.62341105599	口臭,1.61655388627	苔腻略黄,1.59180571658	咽痛,1.58737111951	不能食冷,1.56982680986	舌有裂纹,1.56404644694	时有胃胀,1.50257458285	苔黄,1.49986822125	舌红,1.46860528279	舌暗胖,1.45107805708	便秘,1.42440981	易上火,1.37311651561	反酸,1.37311651561	纳少,1.30412364413	脉沉细,1.20765972898	舌暗红,1.16494157999	不能进食生冷,1.13860920565	腰痛,1.12180208733	痞满,1.07831697539	口干,1.07452478275	有裂纹,1.04690077916	烧心,1.0404781495	苔白,1.03664427899	舌淡暗,1.02649190753	咽干,1.0214541135	舌淡暗胖,1.01145403016	背痛,0.953466772512	脉细,0.944120910094	舌暗,0.925687208405	胃痛,0.920374102927	苔薄黄,0.89977026487	苔黄腻,0.881036934667	苔薄白,0.864579222364	纳差,0.81895776714	嗳气,0.763461864074	脉沉,0.605988922054	苔白腻,0.520222100297	睡眠欠佳,0.462556458447	脉弦,0.453972714756	脉沉弦,0.448290881288	大便干,0.403962294181	腹胀,0.241714404121	腹泻,0.237116694873	

醋三棱	目胀,6.02922971913	脑鸣,5.96023684764	膝关节畏寒,5.94918701146	大便有时成形,5.62376461102	膝关节疼痛,5.56969738975	口干口苦减轻,5.53415245233	反复感冒,5.4696139312	下肢疼痛,5.36140034656	得嗳气矢气则舒,5.36140034656	右上腹不适,5.36140034656	大便欠畅,5.35183089554	记忆力下降,5.3053108799	心悸减轻,5.3053108799	舌紫暗红胖,5.3053108799	鼻燥,5.3053108799	少津,5.2872923744	大便粘好转,5.21829950291	不详,5.13825679524	食欲差,5.13825679524	睡眠质量好转,5.11293898726	腹部畏寒略减,5.11293898726	背部畏寒,5.11293898726	胸憋,5.10388915174	有瘀斑,5.08824637467	畏风,5.05124541825	口干明显,5.01762880745	苔略黄,4.9877758443	胸闷减轻,4.93061743046	根部黄,4.93061743046	汗多好转,4.93061743046	时轻时重,4.93061743046	口臭明显减轻,4.93061743046	服上药后,4.93061743046	舌紫暗胖,4.89190291828	右胁隐痛,4.85057472279	口腔溃疡已愈,4.85057472279	苔浊腻,4.85057472279	右侧腹痛,4.81283439481	进食后嗳气,4.79708603784	舌紫暗红,4.79085548809	舌紫暗,4.7869107098	涎多,4.77646675064	舌淡暗红,4.77646675064	睡眠时间短,4.77646675064	嗳气好转,4.76631437917	部位不固定,4.75876717354	吞咽不畅,4.75876717354	偶胸痛,4.70747387915	大便较前成形,4.70747387915	进食后腹胀,4.70747387915	有齿痕,4.70747387915	夜间口干减轻,4.70747387915	口渴,4.70747387915	脉左沉细,4.70747387915	有时偏干,4.70747387915	时有口臭,4.70747387915	咽痛好转,4.70747387915	双下肢肿减轻,4.70747387915	脉右弦左沉,4.70747387915	偶有胃脘隐痛,4.70747387915	嗳气明显减轻,4.64293535801	大便畅,4.63051283801	呈绞痛,4.61216369934	舌木,4.61216369934	睡眠有时偏差,4.61216369934	小便少,4.59414519384	胁胀,4.55905387403	目干,4.53632562295	大便排出不畅,4.52515232235	腰部畏寒,4.52515232235	乳房胀痛,4.49236249953	苔黄略腻,4.48433032783	胃脘畏寒好转,4.47108510108	头胀,4.47108510108	病情稳定,4.47108510108	大便不成形,4.47108510108	以流食为主,4.44510961468	不喜进食生冷,4.44510961468	舌淡紫暗胖,4.44510961468	汗多减轻,4.44510961468	小便多,4.42984214255	嗳气减轻,4.41752165816	口干好转,4.4073692867	脉弦细数,4.37100164253	仍感胃胀,4.37100164253	生气后加重,4.37100164253	小便不尽感,4.37100164253	脱发明显,4.37100164253	足凉,4.37100164253	易怒,4.37100164253	腰酸,4.35525328556	鼻干,4.33591032272	左上腹疼痛,4.32448162689	色黑,4.32448162689	偶右上腹疼痛,4.32448162689	手麻,4.30200877104	偶心悸,4.30200877104	时有头晕,4.28002986432	咽部异物感减轻,4.26921894822	醒后难再入睡,4.26278805789	

牛膝	膝关节疼痛,5.67721540355	口臭明显减轻,5.62592210916	目胀,5.62592210916	膝关节畏寒,5.54587940149	依赖泻药,5.47177142934	目眵多,5.40277855785	牙龈肿痛,5.40277855785	晨起口臭,5.3635578447	舌紫暗红胖,5.30746837804	服上药后,5.22045700105	下肢疼痛,5.14041429338	腹部畏寒略减,5.1150964854	大便有时秘结,5.1150964854	面黄,5.08230666257	小便不尽感,5.06630632123	尿不尽感,5.01978630559	反酸减少,5.01978630559	目干涩好转,5.01978630559	尿痛,4.99731344974	受凉加重,4.97533454302	有齿痕,4.9327749286	出汗多,4.9327749286	目干涩,4.9327749286	便秘好转,4.89768360879	舌淡紫暗胖,4.85273222093	颈部不适,4.85273222093	根部黄腻,4.8374647488	反酸偶作,4.77862424878	便秘,4.76092467168	舌质暗红,4.70963137729	小腹胀满,4.70963137729	色黄,4.70963137729	苔薄,4.70963137729	反复发作,4.70963137729	苔薄黄白,4.70963137729	大便不黑,4.70963137729	眼睑肿,4.70963137729	脉沉细缓,4.70963137729	呈隐痛,4.70963137729	偶有胃脘隐痛,4.70963137729	有瘀斑,4.6849387647	双下肢肿,4.67041066414	汗多好转,4.64509285615	质干,4.64509285615	根部黄,4.64509285615	嗜睡,4.64509285615	小便次数多,4.61432119748	眠时好时差,4.61432119748	右侧腹胀,4.61432119748	胃脘胀满,4.61432119748	睡眠多,4.61432119748	偶胸骨后疼痛,4.61432119748	大便溏,4.61432119748	双下肢乏力,4.61432119748	全身关节疼痛,4.58446823433	头晕好转,4.56986943491	胸闷减轻,4.52730982049	不干,4.52730982049	感冒多,4.52730982049	偶右胁不适,4.52730982049	夹有血块,4.52730982049	口苦口干,4.52730982049	手足凉好转,4.52730982049	双下肢凉,4.52730982049	长期依赖泻药,4.52730982049	晨起干呕,4.52730982049	腰部畏寒,4.52730982049	形体肥胖,4.52730982049	小便频数,4.49991084631	腰痛,4.49340826882	小便不畅,4.48648782597	右胁疼痛,4.47324259922	吞咽不畅,4.47324259922	进食后偶嗳气,4.47324259922	病情稳定,4.47324259922	畏风,4.44726711282	脉沉小,4.44726711282	量不多,4.43199964069	流涕,4.42194930484	质不干,4.40952678484	苔腻,4.39377842787	苔根部黄腻,4.38754787812	手足热,4.37315914067	疼痛,4.37315914067	时有乏力,4.37315914067	头晕减轻,4.37315914067	舌淡暗红,4.37315914067	脉弦细数,4.37315914067	咳吐不利,4.37315914067	大便干结,4.37315914067	食欲好,4.34962864326	舌紫暗胖,4.34751671005	有便不尽感,4.32663912503	易上炎,4.32663912503	喜饮,4.32663912503	白带多,4.32663912503	色白,4.31758928951	声音嘶哑,4.30416626918	口渴,4.30416626918	腰痛减轻,4.28218736246	

首乌藤	舌淡暗略胖,5.98202420183	颈部不适,5.85319132999	手足热,5.49140128538	耳鸣减轻,5.46323040841	口干不欲饮,5.42240841389	鼻燥,5.32709823409	偶右胁不适,5.2400868571	胃脘畏寒减轻,5.16004414943	小便不尽感,5.08593617727	自觉上火,5.03941616164	胃脘隐痛减轻,5.03941616164	服药后好转,4.95240478465	腹部不适,4.95240478465	目困,4.95240478465	下腹胀,4.95240478465	口臭明显减轻,4.95240478465	目胀,4.95240478465	眠中易醒,4.87586470753	以流食为主,4.87236207697	目干,4.84579504959	舌下脉络瘀曲,4.83462174899	食后嗳气,4.81264284227	舌紫暗红,4.81264284227	睡眠质量差,4.78406946983	膝关节疼痛,4.78055452772	牙龈出血,4.78055452772	腹胀不明显,4.72926123333	大便较前成形,4.72926123333	睡眠质量好转,4.72926123333	小便清长,4.72926123333	大便好转,4.72926123333	大便粘好转,4.72926123333	声音嘶哑,4.72926123333	脉左沉细,4.72926123333	乳房胀痛,4.69647141051	汗多好转,4.6647227122	睡眠不实,4.6523001922	睡眠略好转,4.63395105353	记忆力下降,4.63395105353	舌燥,4.63395105353	听力下降,4.63395105353	时有胃脘不适,4.63395105353	睡眠有时偏差,4.63395105353	腹部畏寒减轻,4.60946003352	纳眠差,4.60409809038	咽部堵闷感,4.60409809038	月经不调,4.58949929096	两胁痛,4.54693967654	偶肠鸣,4.54693967654	手足凉好转,4.54693967654	部位不固定,4.49287245527	大便不成形,4.49287245527	右胁隐痛,4.46689696887	苔浊腻,4.46689696887	脱发,4.4478487739	稍感胃胀,4.44157916088	有瘀斑,4.41688654829	精神好转,4.41688654829	睡眠有时欠佳,4.39278899671	舌淡暗红,4.39278899671	大便干好转,4.39278899671	时有胃脘隐痛,4.39278899671	咳吐不利,4.39278899671	反酸偶作,4.39278899671	偶口苦,4.39278899671	糖尿病饮食,4.39278899671	入睡困难,4.34740599086	失眠好转,4.34626898108	尿痛,4.32379612523	口渴,4.32379612523	苔根部黄腻,4.30181721851	厌油腻,4.28031101329	食后胃胀,4.27183638629	健忘,4.25925760409	口干舌燥,4.25925760409	口干喜饮,4.23863831688	边有齿痕,4.22848594542	纳可,4.20473676521	全身关节疼痛,4.19863298227	舌红暗,4.19863298227	脘腹畏寒,4.19863298227	右胁痛,4.17921489641	醒后难再入睡,4.17921489641	不能食冷,4.15871637487	不干,4.14147456843	右侧腹痛,4.14147456843	腰酸,4.12572621146	早醒,4.10510692426	面部痤疮,4.10186543034	有时不成形,4.09798945649	心烦,4.0949545528	流清涕,4.08740734716	便前腹痛,4.08740734716	饮食不慎则腹泻,4.07001560445	感冒偏多,4.07001560445	嗳气减轻,4.05631676009	腹胀减轻,4.05292117109	大便基本成形,4.05050279023	舌紫暗胖,4.04869283498	手麻,4.03611405277	

醋五味子	动则汗出,5.7122955589	盗汗,5.70838165958	打鼾,5.64775703777	出汗多,5.46543548097	四肢冷,5.3853927733	小便急,5.32930330665	烘热汗出,5.32930330665	有瘀点,5.31128480114	反复腹泻,5.26826741606	少津,5.08814124983	有时成形有时不成形,5.0416212342	倦怠乏力,5.0416212342	目干涩好转,5.0416212342	夹未消化物,5.01914837834	腰痛减轻,4.99716947162	腹泻好转,4.99097750138	胃脘部下坠感,4.95460985721	长期依赖泻药,4.95460985721	口干苦,4.95460985721	泻前腹痛,4.91951853739	小便量少,4.87456714953	偶干咳,4.87456714953	感冒不多,4.8592996774	双下肢乏力,4.8592996774	根部黄腻,4.8592996774	偶咳嗽,4.80942784736	反酸偶作,4.80045917738	进食后偶嗳气,4.78275960028	睡眠质量好转,4.73146630589	苔偏少,4.73146630589	夹血块,4.73146630589	脉右弦左沉,4.73146630589	汗多,4.72660011624	胸痛,4.70329542893	时有腹痛,4.68798119395	时有肠鸣,4.68267614172	脱发,4.67319739777	进食后胃脘不适,4.66692778475	消瘦,4.66692778475	脉细数,4.66692778475	食欲好,4.65914564431	时有心悸,4.64758482191	小便次数多,4.63615612609	腹泻减轻,4.63615612609	睡眠略好转,4.63615612609	大便仍不成形,4.63615612609	根部薄白,4.63615612609	睡眠偏差,4.63615612609	食欲好转,4.63615612609	小便困难,4.60630316294	心悸好转,4.60630316294	心悸,4.58881000549	受凉易腹泻,4.58304630077	易感冒,4.57617342149	服上药后,4.5491447491	舌下脉络瘀曲,4.5491447491	偶肠鸣,4.5491447491	全身乏力,4.5491447491	苔前部少,4.5491447491	舌淡红胖,4.5491447491	腹部微畏寒,4.49507752783	嗳气减少,4.48852012728	舌苔根部厚,4.46910204142	手心热,4.46910204142	晨起口臭,4.46910204142	纳偏差,4.44378423344	脉细弦,4.41561335647	反复感冒,4.39499406927	偶胃脘隐痛,4.39499406927	泻后则安,4.39499406927	脱发明显,4.39499406927	偶头痛,4.39499406927	纳时好时差,4.39499406927	易上炎,4.34847405364	受凉易作,4.34847405364	咽痒,4.3428083161	面部痤疮好转,4.32600119778	偶心悸,4.32600119778	时有口臭,4.32600119778	大便调,4.32600119778	气短,4.31073372565	口干咽燥,4.30402229106	时有腹胀,4.30402229106	畏风,4.28678048463	有时不成形,4.28251608584	局部剥脱,4.26146267665	气喘,4.26146267665	咳痰色白,4.26146267665	时轻时重,4.26146267665	面部烘热,4.26146267665	量不多,4.23069101798	听力下降,4.23069101798	前部少苔,4.20083805483	苔少,4.20083805483	舌红暗,4.20083805483	大便已成形,4.20083805483	大便基本成形,4.18623925541	尿频,4.18623925541	大便中夹有未消化物,4.17185051796	失眠好转,4.16615249684	

夏枯草	小便热,5.47430471871	乳房胀痛,5.40069290137	生气后加重,5.32015403889	偶右胁不适,5.2511611674	胃脘部下坠感,5.2511611674	头胀,5.19709394613	口干口苦减轻,5.19232066738	不详,5.17111845973	得嗳气矢气则舒,5.17111845973	偶口干口苦,5.14580065174	大便有时成形,5.14580065174	目眵多,5.14580065174	双下肢肿减轻,5.14580065174	脉右弦左沉,5.14580065174	烦躁,5.09701048757	偶耳鸣,5.05049047194	足跟痛,5.05049047194	目干涩好转,5.05049047194	右胁疼痛,5.01477238933	胸闷减轻,4.96347909495	目胀,4.96347909495	心悸好转,4.90285447313	苔略黄,4.90285447313	右胁隐痛,4.88343638727	手心热,4.88343638727	咽干咽痛,4.88343638727	舌木,4.86816891514	舌下脉络瘀曲,4.84569605929	手足凉好转,4.84569605929	涎多,4.80932841512	脉弦细数,4.80932841512	仍感胃胀,4.80932841512	脱发明显,4.80932841512	胃脘畏寒明显,4.78115753815	感冒偏多,4.77423709531	进食后腹胀,4.74033554363	小腹胀满,4.74033554363	稍感恶心,4.74033554363	脉左沉右弦,4.74033554363	呈隐痛,4.74033554363	右侧背痛,4.69154537946	疼痛,4.69154537946	时时欲便,4.67579702249	右胁不适,4.67579702249	舌略红,4.67579702249	眠不实,4.64502536383	双下肢乏力,4.64502536383	舌紫暗红胖,4.64502536383	大便已成形,4.61517240068	舌紫暗红,4.60057360126	苔薄白略黄,4.57906739604	口苦减轻,4.55801398684	大便排出不畅,4.55801398684	隐痛,4.55801398684	腰部畏寒,4.55801398684	关节疼痛,4.55801398684	月经量少,4.54617952919	有软裂,4.53739469964	乏力明显好转,4.47797127917	下肢疼痛,4.47797127917	右上腹不适,4.47797127917	大便有时不成形,4.4728561785	胃胀明显好转,4.46270380703	大便时干时稀,4.44553600341	手足热,4.40386330701	大便欠畅,4.40386330701	烘热,4.40386330701	按之觉痛,4.40386330701	PG,4.40386330701	腹部畏寒喜暖,4.40386330701	偶口苦,4.40386330701	腰酸,4.38811495004	胁胀,4.3687719872	腹部畏寒明显,4.35734329138	排不尽感,4.35734329138	泛吐白沫,4.35734329138	耳鸣,4.35734329138	左上腹疼痛,4.35734329138	白带多,4.35734329138	胸憋,4.34829345586	急躁易怒,4.33487043552	早醒,4.31685193002	根部薄黄,4.3020806127	进食后嗳气,4.27033191439	消瘦,4.27033191439	视物模糊,4.27033191439	精神好转,4.2456393018	入睡困难,4.22494890854	偶头晕,4.20970729257	双下肢肿,4.19028920671	睡眠欠佳,4.18645043041	食欲好转,4.17502173458	喜叹息,4.17124101174	睡眠质量差,4.16653512071	大便粘,4.16372217933	排气多,4.15254887873	大便不成形好转,4.15254887873	不干,4.15254887873	体重下降,4.15254887873	右侧腹痛,4.15254887873	

